指标,说明
技术指标说明,
1. MA交叉(12%),MA5与MA20交叉是重要的趋势转换信号。当5日均线上穿20日均线时，表示可能开始上涨趋势。
2. 布林带(12%),布林带是以移动平均线为中轨，上下各加减两个标准差形成的带状区域。当价格接近下轨时，可能存在超卖机会。
3. RSI(8%),相对强弱指标，用于判断超买超卖。RSI低于30表示超卖，低于40表示较弱。
4. MACD(12%),平滑异同移动平均线，是重要的趋势指标。当MACD柱由负转正时，表示可能形成上涨趋势。
5. KDJ(8%),随机指标，用于判断超买超卖。K值小于20表示超卖，是买入机会。
6. 成交量(12%),成交量是价格变动的确认指标。当成交量较前期明显放大时，表示趋势更可靠。
7. DMI(8%),趋势方向指标，用于判断趋势强度。ADX大于25且+DI大于-DI时，表示上涨趋势强劲。
8. CCI(5%),顺势指标，用于判断价格偏离程度。CCI在-100到-80之间时，表示可能存在买入机会。
9. TRIX(5%),三重指数平滑移动平均指标，用于判断中长期趋势。TRIX由负转正且持续上升，表示趋势向好。
10. OBV(6%),能量潮指标，用于判断趋势的持续性。当OBV上升且大于其MA时，表示趋势向上。
11. WR(6%),威廉指标，用于判断超买超卖。WR小于-80表示超卖，小于-60表示较弱。
12. EMV(6%),简易波动指标，用于判断趋势的强度。当EMV大于其MA且大于0时，表示趋势向上。
,
信号得分说明,各指标得分根据其重要性赋予不同权重，总分大于0.3时产生买入信号。得分越高，信号越强。
,
筛选结果,以下是按信号得分排序的股票列表：
,
代码,名称,信号得分,当前价格,市值(亿),日成交额(亿),买入理由
002916,深南电路,0.38,101.69,519.8,1.91,MA5上穿MA20；MACD金叉；ADX强势；OBV上升趋势；EMV上升
002709,天赐材料,0.37,22.0,421.76,0.96,价格接近布林带下轨；RSI超卖；KDJ超卖；CCI回归；WR超卖；EMV上升
000981,山子高科,0.37,2.99,301.92,13.39,MACD金叉；ADX强势；TRIX上升；OBV上升趋势；EMV上升
002400,省广集团,0.36,12.4,216.0,34.99,MACD金叉；ADX强势；TRIX上升；OBV上升趋势；EMV上升
600089,特变电工,0.36,12.75,644.74,1.68,价格接近布林带下轨；RSI超卖；KDJ超卖；CCI回归；WR超卖
601933,永辉超市,0.36,7.46,685.17,31.71,MACD金叉；ADX强势；TRIX上升；OBV上升趋势；EMV上升
002281,光迅科技,0.36,45.3,360.45,15.86,MA5上穿MA20；MACD金叉；ADX强势；OBV上升趋势；EMV上升
001965,招商公路,0.35,12.9,880.51,1.5,MACD金叉；ADX强势；TRIX上升；OBV上升趋势；EMV上升
000792,盐湖股份,0.33,16.66,903.49,2.39,价格接近布林带下轨；RSI超卖；KDJ超卖；WR超卖
000875,吉电股份,0.33,5.69,206.03,1.73,MA5上穿MA20；MACD金叉；ADX强势；OBV上升趋势；EMV上升
002459,晶澳科技,0.32,15.39,509.36,0.89,价格接近布林带下轨；RSI超卖；KDJ超卖；WR超卖
000807,云铝股份,0.32,14.93,517.77,1.13,MACD金叉；ADX强势；OBV上升趋势；EMV上升
600674,川投能源,0.32,17.01,827.71,1.72,MACD金叉；KDJ超卖；ADX强势；TRIX上升；OBV上升趋势；WR超卖；EMV上升
002466,天齐锂业,0.32,35.92,589.69,1.8,价格接近布林带下轨；RSI超卖；KDJ超卖；CCI回归；WR超卖
603986,兆易创新,0.32,96.18,644.86,35.37,MACD金叉；ADX强势；OBV上升趋势；EMV上升
600438,通威股份,0.31,23.69,1066.97,2.18,价格接近布林带下轨；RSI超卖；KDJ超卖；WR超卖
601865,福莱特,0.31,23.09,540.75,0.65,价格接近布林带下轨；RSI超卖；KDJ超卖；WR超卖
002812,恩捷股份,0.31,35.06,340.82,0.78,价格接近布林带下轨；RSI超卖；KDJ超卖；WR超卖
605499,东鹏饮料,0.31,256.65,1325.83,2.37,MACD金叉；ADX强势；TRIX上升；OBV上升趋势；EMV上升
002074,国轩高科,0.31,21.99,396.96,1.02,价格接近布林带下轨；RSI超卖；KDJ超卖；WR超卖
002670,国盛金控,0.31,17.23,333.42,10.56,MACD金叉；ADX强势；TRIX上升；EMV上升
600436,片仔癀,0.31,220.77,1331.28,2.23,价格接近布林带下轨；RSI超卖；KDJ超卖；CCI回归；WR超卖
600276,恒瑞医药,0.31,46.1,2934.98,6.07,价格接近布林带下轨；RSI超卖；KDJ超卖；WR超卖
601288,农业银行,0.31,5.06,17674.14,7.89,MACD金叉；ADX强势；TRIX上升；OBV上升趋势；EMV上升
601398,工商银行,0.31,6.51,23166.41,8.75,MACD金叉；ADX强势；TRIX上升；OBV上升趋势；EMV上升
601012,隆基绿能,0.3,16.99,1286.75,2.84,价格接近布林带下轨；RSI超卖；KDJ超卖；WR超卖
603806,福斯特,0.3,15.55,404.61,1.08,价格接近布林带下轨；RSI超卖；KDJ超卖；WR超卖
601990,南京证券,0.3,9.6,353.52,4.5,MACD金叉；ADX强势；TRIX上升；OBV上升趋势；EMV上升
