指标,说明
技术指标说明,
1. MA交叉(12%),MA5与MA20交叉是重要的趋势转换信号。当5日均线上穿20日均线时，表示可能开始上涨趋势。
2. 布林带(12%),布林带是以移动平均线为中轨，上下各加减两个标准差形成的带状区域。当价格接近下轨时，可能存在超卖机会。
3. RSI(8%),相对强弱指标，用于判断超买超卖。RSI低于30表示超卖，低于40表示较弱。
4. MACD(12%),平滑异同移动平均线，是重要的趋势指标。当MACD柱由负转正时，表示可能形成上涨趋势。
5. KDJ(8%),随机指标，用于判断超买超卖。K值小于20表示超卖，是买入机会。
6. 成交量(12%),成交量是价格变动的确认指标。当成交量较前期明显放大时，表示趋势更可靠。
7. DMI(8%),趋势方向指标，用于判断趋势强度。ADX大于25且+DI大于-DI时，表示上涨趋势强劲。
8. CCI(5%),顺势指标，用于判断价格偏离程度。CCI在-100到-80之间时，表示可能存在买入机会。
9. TRIX(5%),三重指数平滑移动平均指标，用于判断中长期趋势。TRIX由负转正且持续上升，表示趋势向好。
10. OBV(6%),能量潮指标，用于判断趋势的持续性。当OBV上升且大于其MA时，表示趋势向上。
11. WR(6%),威廉指标，用于判断超买超卖。WR小于-80表示超卖，小于-60表示较弱。
12. EMV(6%),简易波动指标，用于判断趋势的强度。当EMV大于其MA且大于0时，表示趋势向上。
,
信号得分说明,各指标得分根据其重要性赋予不同权重，总分大于0.3时产生买入信号。得分越高，信号越强。
,
筛选结果,以下是按信号得分排序的股票列表：
,
代码,名称,信号得分,当前价格,市值(亿),日成交额(亿),买入理由
000063,中兴通讯,0.54,34.49,1649.84,101.79,MA5上穿MA20；MACD金叉；成交量放大；ADX强势；OBV上升趋势；EMV上升
002851,麦格米特,0.43,45.94,250.8,16.58,MA5上穿MA20；MACD金叉；成交量放大；OBV上升趋势；EMV上升
002916,深南电路,0.4,109.47,560.93,9.31,MACD金叉；成交量放大；ADX强势；OBV上升趋势；EMV上升
002130,沃尔核材,0.37,24.29,305.4,35.94,MACD金叉；成交量放大；ADX强势；TRIX上升；OBV上升趋势；EMV上升
600276,恒瑞医药,0.37,46.8,2989.2,6.8,价格接近布林带下轨；RSI超卖；KDJ超卖；WR超卖；EMV上升
000792,盐湖股份,0.37,16.74,908.38,1.89,价格接近布林带下轨；RSI超卖；KDJ超卖；WR超卖；EMV上升
002463,沪电股份,0.37,39.49,757.28,17.01,MA5上穿MA20；MACD金叉；ADX强势；OBV上升趋势；EMV上升
000681,视觉中国,0.37,29.6,207.02,52.34,MACD金叉；ADX强势；TRIX上升；OBV上升趋势；EMV上升
603659,璞泰来,0.36,17.74,380.63,1.95,价格接近布林带下轨；RSI超卖；KDJ超卖；WR超卖；EMV上升
603806,福斯特,0.36,15.81,413.48,1.48,价格接近布林带下轨；RSI超卖；KDJ超卖；WR超卖；EMV上升
600111,北方稀土,0.36,22.26,804.71,2.39,价格接近布林带下轨；KDJ超卖；OBV上升趋势；WR超卖；EMV上升
601216,君正集团,0.35,6.68,566.19,26.89,MACD金叉；ADX强势；TRIX上升；OBV上升趋势；EMV上升
001965,招商公路,0.35,13.1,892.78,1.3,MACD金叉；ADX强势；TRIX上升；OBV上升趋势；EMV上升
600183,生益科技,0.35,24.83,603.46,8.03,MACD金叉；ADX强势；TRIX上升；OBV上升趋势；EMV上升
000831,中国稀土,0.35,29.71,315.18,1.42,价格接近布林带下轨；RSI超卖；KDJ超卖；OBV上升趋势；WR超卖
600536,中国软件,0.34,51.26,435.46,4.12,价格接近布林带下轨；RSI超卖；KDJ超卖；OBV上升趋势；WR超卖
600436,片仔癀,0.34,220.45,1329.71,1.94,价格接近布林带下轨；RSI超卖；KDJ超卖；CCI回归；WR超卖
601012,隆基绿能,0.34,16.81,1273.87,4.72,价格接近布林带下轨；RSI超卖；KDJ超卖；WR超卖
600941,中国移动,0.34,112.53,24177.29,7.51,MACD金叉；ADX强势；TRIX上升；OBV上升趋势；EMV上升
600383,金地集团,0.34,4.94,223.47,2.47,价格接近布林带下轨；RSI超卖；KDJ超卖；WR超卖
601288,农业银行,0.34,5.15,17989.13,11.07,MACD金叉；ADX强势；TRIX上升；OBV上升趋势；EMV上升
600707,彩虹股份,0.34,8.32,298.55,3.26,MACD金叉；ADX强势；TRIX上升；OBV上升趋势；EMV上升
601398,工商银行,0.33,6.55,23344.61,8.74,MACD金叉；ADX强势；TRIX上升；OBV上升趋势；EMV上升
600745,闻泰科技,0.33,35.71,443.9,4.95,价格接近布林带下轨；RSI超卖；KDJ超卖；CCI回归；WR超卖
600438,通威股份,0.33,23.81,1069.67,2.44,价格接近布林带下轨；RSI超卖；KDJ超卖；WR超卖
002129,TCL中环,0.33,9.54,385.71,2.21,价格接近布林带下轨；RSI超卖；KDJ超卖；WR超卖
