指标,说明
技术指标说明,
1. MA交叉(12%),MA5与MA20交叉是重要的趋势转换信号。当5日均线上穿20日均线时，表示可能开始上涨趋势。
2. 布林带(12%),布林带是以移动平均线为中轨，上下各加减两个标准差形成的带状区域。当价格接近下轨时，可能存在超卖机会。
3. RSI(8%),相对强弱指标，用于判断超买超卖。RSI低于30表示超卖，低于40表示较弱。
4. MACD(12%),平滑异同移动平均线，是重要的趋势指标。当MACD柱由负转正时，表示可能形成上涨趋势。
5. KDJ(8%),随机指标，用于判断超买超卖。K值小于20表示超卖，是买入机会。
6. 成交量(12%),成交量是价格变动的确认指标。当成交量较前期明显放大时，表示趋势更可靠。
7. DMI(8%),趋势方向指标，用于判断趋势强度。ADX大于25且+DI大于-DI时，表示上涨趋势强劲。
8. CCI(5%),顺势指标，用于判断价格偏离程度。CCI在-100到-80之间时，表示可能存在买入机会。
9. TRIX(5%),三重指数平滑移动平均指标，用于判断中长期趋势。TRIX由负转正且持续上升，表示趋势向好。
10. OBV(6%),能量潮指标，用于判断趋势的持续性。当OBV上升且大于其MA时，表示趋势向上。
11. WR(6%),威廉指标，用于判断超买超卖。WR小于-80表示超卖，小于-60表示较弱。
12. EMV(6%),简易波动指标，用于判断趋势的强度。当EMV大于其MA且大于0时，表示趋势向上。
,
信号得分说明,各指标得分根据其重要性赋予不同权重，总分大于0.3时产生买入信号。得分越高，信号越强。
,
筛选结果,以下是按信号得分排序的股票列表：
,
代码,名称,信号得分,当前价格,市值(亿),日成交额(亿),买入理由
603596,伯特利,0.43,48.61,295.08,3.75,MA5上穿MA20；MACD金叉；ADX强势；OBV上升趋势；EMV上升
600745,闻泰科技,0.41,35.66,444.14,2.98,价格接近布林带下轨；RSI超卖；KDJ超卖；CCI回归；WR超卖；EMV上升
600362,江西铜业,0.4,21.85,756.61,0.98,MA5上穿MA20；MACD金叉；ADX强势；OBV上升趋势；EMV上升
000921,海信家电,0.4,30.06,416.77,0.92,MA5上穿MA20；MACD金叉；ADX强势；OBV上升趋势；EMV上升
603198,迎驾贡酒,0.37,64.6,516.72,0.99,MA5上穿MA20；MACD金叉；ADX强势；OBV上升趋势；EMV上升
601111,中国国航,0.37,8.96,1485.14,2.54,MACD金叉；ADX强势；TRIX上升；OBV上升趋势；EMV上升
603662,柯力传感,0.37,86.6,245.89,24.34,MACD金叉；ADX强势；TRIX上升；OBV上升趋势；EMV上升
601816,京沪高铁,0.37,6.35,3118.26,4.33,MACD金叉；ADX强势；TRIX上升；OBV上升趋势；EMV上升
603345,安井食品,0.36,90.84,266.19,1.96,MA5上穿MA20；MACD金叉；ADX强势；OBV上升趋势；EMV上升
000596,古井贡酒,0.36,201.09,1060.9,2.47,MA5上穿MA20；MACD金叉；ADX强势；OBV上升趋势；EMV上升
600547,山东黄金,0.36,25.16,1126.41,3.6,MA5上穿MA20；MACD金叉；OBV上升趋势；EMV上升
002583,海能达,0.36,16.75,304.23,7.36,价格接近布林带下轨；RSI超卖；KDJ超卖；CCI回归；WR超卖；EMV上升
002532,天山铝业,0.35,8.53,395.88,1.07,MA5上穿MA20；MACD金叉；ADX强势；OBV上升趋势；EMV上升
002670,国盛金控,0.35,17.4,336.7,21.08,MACD金叉；ADX强势；TRIX上升；OBV上升趋势；EMV上升
